(1,):value:1 count:553 
(1,3,1,2,3,):value:12 count:2 
(1,3,1,2,3,1,):value:13 count:2 
(1,3,1,2,4,):value:13 count:2 
(1,3,1,2,4,1,):value:15 count:1 
(1,3,1,2,5,):value:14 count:2 
(1,3,1,2,6,):value:15 count:1 
(1,3,2,):value:6 count:24 
(1,3,2,1,):value:7 count:8 
(1,3,2,1,1,):value:8 count:8 
(1,3,2,1,1,1,):value:9 count:2 
(1,3,2,1,1,1,1,):value:13 count:2 
(1,3,2,1,1,2,):value:10 count:3 
(1,3,2,1,1,2,1,):value:13 count:1 
(1,3,2,1,1,3,):value:13 count:1 
(1,3,2,2,):value:8 count:16 
(1,3,2,2,1,):value:9 count:10 
(1,3,2,2,1,1,):value:10 count:1 
(1,3,2,2,1,1,1,):value:16 count:1 
(1,3,2,2,1,2,):value:12 count:1 
(1,3,2,2,1,2,1,):value:14 count:1 
(1,3,2,2,1,3,):value:13 count:4 
(1,3,2,2,1,3,1,):value:15 count:2 
(1,3,2,2,1,4,):value:15 count:3 
(1,3,2,2,1,4,1,):value:16 count:3 
(1,3,2,2,1,5,):value:16 count:1 
(1,3,2,2,2,):value:10 count:1 
(1,3,2,2,3,):value:13 count:2 
(1,3,2,2,4,):value:15 count:3 
(1,3,2,2,4,1,):value:16 count:1 
(1,3,3,):value:7 count:2 
(1,3,3,1,):value:8 count:2 
(1,3,3,1,1,):value:10 count:1 
(1,3,3,1,1,1,):value:16 count:1 
(1,3,4,):value:8 count:11 
(1,3,4,1,):value:9 count:3 
(1,3,4,1,1,):value:10 count:1 
(1,3,4,1,1,1,):value:13 count:1 
(1,3,4,1,1,1,1,):value:15 count:1 
(1,3,4,1,2,):value:13 count:1 
(1,3,4,1,3,):value:16 count:1 
(1,3,4,2,):value:10 count:1 
(1,3,4,2,1,):value:15 count:1 
(1,3,4,3,):value:12 count:1 
(1,3,4,4,):value:13 count:2 
(1,3,4,4,1,):value:15 count:1 
(1,3,4,5,):value:15 count:3 
(1,4,):value:5 count:7 
(1,4,1,):value:7 count:2 
(1,4,1,1,):value:8 count:2 
(1,4,1,1,1,):value:10 count:2 
(1,4,1,1,1,1,):value:11 count:1 
(1,4,2,):value:8 count:5 
(1,4,2,1,):value:9 count:2 
(1,4,2,1,1,):value:10 count:1 
(1,4,2,1,1,1,):value:11 count:1 
(1,4,2,1,1,1,1,):value:16 count:1 
(1,4,2,1,2,):value:14 count:1 
(1,4,2,2,):value:10 count:2 
(1,4,2,2,1,):value:11 count:1 
(1,4,2,2,1,1,):value:12 count:1 
(1,4,2,2,1,1,1,):value:13 count:1 
(1,4,2,2,2,):value:15 count:1 
(1,4,2,2,2,1,):value:16 count:1 
(1,4,2,3,):value:11 count:1 
(1,4,2,3,1,):value:13 count:1 
(1,5,):value:6 count:12 
(1,5,1,):value:7 count:3 
(1,5,1,1,):value:8 count:3 
(1,5,1,1,1,):value:9 count:1 
(1,5,1,1,1,1,):value:11 count:1 
(1,5,1,1,1,1,1,):value:14 count:1 
(1,5,1,1,2,):value:11 count:1 
(1,5,1,1,2,1,):value:13 count:1 
(1,5,1,1,3,):value:16 count:1 
(1,5,2,):value:8 count:9 
(1,5,2,1,):value:9 count:6 
